"Model","Duration","Dose","Dataset","Platform","Gene","Value","Value.adj","High Quality"
"Hep3B","","","E-MTAB-4570","MicroArray","HP","5.739","27.739","True"
"Zr751","5d","","GSE54329","MicroArray","S100A7","6.063","26.391","True"
"Hmec1","","","GSE19082","MicroArray","SOCS3","2.230","26.288","True"
"Zr751","5d","","GSE54329","MicroArray","S100A8","5.884","25.612","True"
"Zr751","5d","","GSE54329","MicroArray","S100A9","5.588","24.323","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","CEBPD","2.226","24.214","True"
"Hcc1428","4d","","GSE54329","MicroArray","S100A9","3.828","23.103","True"
"Hep3B","","","E-MTAB-4570","MicroArray","FGB","4.375","21.149","True"
"T47D","6d","","GSE54329","MicroArray","IFITM1","3.374","20.958","True"
"Hep3B","","","E-MTAB-4570","MicroArray","SERPINA3","4.047","19.560","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","IRF1","1.797","19.542","True"
"Hcc1428","5d","","GSE54329","MicroArray","S100A9","3.375","18.790","True"
"Zr751","5d","","GSE54329","MicroArray","C3","4.243","18.468","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","PLAAT4","3.852","18.311","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","S100A7","5.018","18.271","True"
"Huh7","","","E-MTAB-4570","MicroArray","LBP","4.598","18.079","True"
"Huh7","","","E-MTAB-4570","MicroArray","HP","4.548","17.885","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","IFITM1","5.465","17.701","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","HAMP","1.613","17.549","True"
"Hmec1","","","GSE19082","MicroArray","CEBPD","1.486","17.523","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","IFITM1","5.355","17.504","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","PLAC8","2.387","17.300","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","S100A8","5.203","17.008","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","RUNX1-IT1","3.135","16.861","False"
"Hep3B","","","E-MTAB-4570","MicroArray","FGA","3.488","16.858","True"
"Hcc1428","6d","","GSE54329","MicroArray","S100A9","3.236","16.642","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","PDZK1IP1","5.123","16.593","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","SERPINA3","3.447","16.388","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","CYP1A1","3.422","16.268","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","NNMT","4.909","16.049","True"
"Bt474","5d","","GSE54329","MicroArray","S100A9","2.704","15.893","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","S100A8","4.869","15.770","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","LRG1","1.429","15.543","True"
"Zr751","5d","","GSE54329","MicroArray","S100A7A","3.569","15.533","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","SERPINA3","4.843","15.497","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","PDZK1IP1","4.825","15.440","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","HP","1.416","15.402","True"
"Efm19","4d","","GSE54329","MicroArray","S100A9","2.162","15.400","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","MMP1","2.122","15.377","True"
